case_id,activity,timestamp,resource,shift,model_type,supplier_id,priority,duration_h
CAR000000,Order Created,2023-03-08 22:53:19.533219,Station_3,Morning,Coupe,S104,High,1.77
CAR000000,Configuration Confirmed,2023-03-09 00:39:16.581070,Station_5,Night,Coupe,S104,High,7.3
CAR000000,Parts Allocated,2023-03-09 07:57:07.901935,Station_4,Night,Coupe,S104,High,18.37
CAR000000,Body Shop,2023-03-10 02:19:06.608463,Station_1,Morning,Coupe,S104,High,20.71
CAR000000,Assembly,2023-03-10 23:01:52.689248,Station_1,Afternoon,Coupe,S104,High,15.1
CAR000000,Paint Shop,2023-03-11 14:07:51.277682,Station_3,Night,Coupe,S104,High,25.7
CAR000000,Quality Check,2023-03-12 15:49:59.262822,Station_3,Night,Coupe,S104,High,6.29
CAR000000,Delivery Prep,2023-03-12 22:07:15.399498,Station_4,Night,Coupe,S104,High,4.52
CAR000000,Vehicle Delivered,2023-03-13 02:38:10.070271,Station_5,Morning,Coupe,S104,High,4.12
CAR000001,Order Created,2023-12-13 08:14:14.302821,Station_2,Afternoon,Sedan,S103,Normal,1.48
CAR000001,Configuration Confirmed,2023-12-13 09:43:18.734437,Station_4,Morning,Sedan,S103,Normal,10.34
CAR000001,Parts Allocated,2023-12-13 20:03:34.014890,Station_3,Morning,Sedan,S103,Normal,29.99
CAR000001,Body Shop,2023-12-15 02:02:46.591816,Station_4,Afternoon,Sedan,S103,Normal,12.03
CAR000001,Assembly,2023-12-15 14:04:49.743685,Station_2,Afternoon,Sedan,S103,Normal,32.73
CAR000001,Paint Shop,2023-12-16 22:48:29.048915,Station_4,Afternoon,Sedan,S103,Normal,6.93
CAR000001,Quality Check,2023-12-17 05:44:17.029184,Station_4,Afternoon,Sedan,S103,Normal,3.82
CAR000001,Delivery Prep,2023-12-17 09:33:44.920905,Station_2,Morning,Sedan,S103,Normal,6.53
CAR000001,Vehicle Delivered,2023-12-17 16:05:22.020395,Station_4,Morning,Sedan,S103,Normal,5.64
CAR000002,Order Created,2023-02-21 10:29:46.358804,Station_1,Morning,Electric,S104,High,1.96
CAR000002,Configuration Confirmed,2023-02-21 12:27:09.626315,Station_3,Night,Electric,S104,High,7.17
CAR000002,Parts Allocated,2023-02-21 19:37:36.376484,Station_1,Night,Electric,S104,High,36.37
CAR000002,Body Shop,2023-02-23 07:59:55.555856,Station_5,Night,Electric,S104,High,22.66
CAR000002,Assembly,2023-02-24 06:39:18.598000,Station_1,Afternoon,Electric,S104,High,29.29
CAR000002,Paint Shop,2023-02-25 11:56:29.133331,Station_1,Afternoon,Electric,S104,High,18.14
CAR000002,Quality Check,2023-02-26 06:05:10.146013,Station_3,Night,Electric,S104,High,3.57
CAR000002,Delivery Prep,2023-02-26 09:39:38.922387,Station_3,Afternoon,Electric,S104,High,3.61
CAR000002,Vehicle Delivered,2023-02-26 13:16:06.234694,Station_3,Night,Electric,S104,High,2.96
CAR000003,Order Created,2023-03-28 03:13:40.429203,Station_1,Night,Sedan,S101,Normal,1.92
CAR000003,Configuration Confirmed,2023-03-28 05:09:07.535721,Station_5,Night,Sedan,S101,Normal,6.8
CAR000003,Parts Allocated,2023-03-28 11:57:22.241109,Station_1,Night,Sedan,S101,Normal,23.27
CAR000003,Body Shop,2023-03-29 11:13:32.912530,Station_5,Morning,Sedan,S101,Normal,22.52
CAR000003,Assembly,2023-03-30 09:44:36.497361,Station_3,Night,Sedan,S101,Normal,36.15
CAR000003,Paint Shop,2023-03-31 21:53:43.706896,Station_2,Morning,Sedan,S101,Normal,15.15
CAR000003,Quality Check,2023-04-01 13:02:40.245074,Station_5,Afternoon,Sedan,S101,Normal,5.99
CAR000003,Delivery Prep,2023-04-01 19:02:14.943646,Station_4,Afternoon,Sedan,S101,Normal,7.83
CAR000003,Vehicle Delivered,2023-04-02 02:52:05.838893,Station_3,Afternoon,Sedan,S101,Normal,4.33
CAR000004,Order Created,2023-11-24 01:45:35.234387,Station_1,Morning,Electric,S102,Low,2.85
CAR000004,Configuration Confirmed,2023-11-24 04:36:34.950722,Station_1,Morning,Electric,S102,Low,4.07
CAR000004,Parts Allocated,2023-11-24 08:40:32.649084,Station_1,Night,Electric,S102,Low,24.06
CAR000004,Body Shop,2023-11-25 08:44:13.550411,Station_5,Afternoon,Electric,S102,Low,16.83
CAR000004,Assembly,2023-11-26 01:33:50.982010,Station_3,Morning,Electric,S102,Low,33.26
CAR000004,Paint Shop,2023-11-27 10:49:20.803934,Station_1,Afternoon,Electric,S102,Low,15.19
CAR000004,Quality Check,2023-11-28 02:00:31.614919,Station_4,Morning,Electric,S102,Low,7.94
CAR000004,Delivery Prep,2023-11-28 09:56:48.654823,Station_2,Afternoon,Electric,S102,Low,5.95
CAR000004,Vehicle Delivered,2023-11-28 15:53:31.544415,Station_1,Night,Electric,S102,Low,2.93
CAR000005,Order Created,2023-07-03 11:28:05.676545,Station_1,Morning,Coupe,S101,Normal,1.01
CAR000005,Configuration Confirmed,2023-07-03 12:28:32.366299,Station_4,Morning,Coupe,S101,Normal,6.28
CAR000005,Parts Allocated,2023-07-03 18:45:05.506857,Station_4,Afternoon,Coupe,S101,Normal,18.94
CAR000005,Body Shop,2023-07-04 13:41:36.783738,Station_5,Night,Coupe,S101,Normal,14.12
CAR000005,Assembly,2023-07-05 03:49:00.733831,Station_3,Afternoon,Coupe,S101,Normal,42.19
