case_id,n_reworks,n_steps,model_type,supplier_id,shift,total_duration,is_late,delay_risk
CAR003957,1,11,0,2,0,177.16,1,1.0
CAR002057,1,11,1,0,0,130.64,1,1.0
CAR004295,1,11,1,0,0,155.38,1,1.0
CAR000942,1,11,0,2,1,147.97,1,1.0
CAR000934,1,11,3,3,2,134.2,1,1.0
CAR000933,1,11,3,2,1,192.91,1,1.0
CAR001963,1,11,3,2,1,170.39,1,1.0
CAR004315,1,11,1,0,0,114.67,0,1.0
CAR000893,0,9,0,2,0,163.25,1,1.0
CAR000891,0,9,0,2,0,124.12,1,1.0
CAR004323,0,9,0,2,0,158.35999999999999,1,1.0
CAR000878,1,11,1,3,2,154.08,1,1.0
CAR001967,1,11,1,1,1,121.53,1,1.0
CAR003465,0,9,0,2,0,146.81,1,1.0
CAR003461,1,11,3,2,0,177.82999999999998,1,1.0
CAR000863,1,11,1,3,2,173.52,1,1.0
CAR002003,1,11,3,2,1,172.41,1,1.0
CAR000852,1,11,1,0,1,134.64000000000001,1,1.0
CAR002007,1,11,2,2,0,201.8,1,1.0
CAR003460,1,11,0,2,1,147.7,1,1.0
CAR003455,1,11,1,2,2,157.31,1,1.0
CAR002015,1,11,1,3,0,139.87,1,1.0
CAR000831,0,9,0,2,0,129.18,1,1.0
CAR002036,1,11,1,2,0,174.51,1,1.0
CAR000824,1,11,1,2,2,164.52,1,1.0
CAR002039,1,11,0,2,1,174.21,1,1.0
CAR003427,1,11,1,3,0,133.18,1,1.0
CAR000949,1,11,3,2,1,177.78,1,1.0
CAR004292,1,11,3,2,0,159.56,1,1.0
CAR004280,1,11,1,0,1,187.72,1,1.0
CAR003474,1,11,2,2,2,148.64,1,1.0
CAR003549,1,11,2,2,2,170.19,1,1.0
CAR001890,1,11,3,2,1,167.55,1,1.0
CAR004212,1,11,0,2,2,151.9,1,1.0
CAR004224,1,11,1,1,1,136.35999999999999,1,1.0
CAR003538,1,11,2,2,0,149.4,1,1.0
CAR004239,1,11,2,2,0,179.32,1,1.0
CAR003521,1,11,1,2,2,178.35,1,1.0
CAR003509,1,11,1,0,1,162.43,1,1.0
CAR004250,0,9,0,2,0,139.84,1,1.0
CAR003495,1,11,2,2,2,156.12,1,1.0
CAR001008,1,11,2,3,1,165.64,1,1.0
CAR001005,1,11,1,1,0,128.9,1,1.0
CAR004268,1,11,3,2,0,169.6,1,1.0
CAR001935,1,11,1,0,0,143.7,1,1.0
CAR000997,1,11,1,1,1,159.69,1,1.0
CAR000992,1,11,2,2,0,149.94,1,1.0
CAR004253,1,11,0,2,2,200.37,1,1.0
CAR000986,1,11,1,0,0,128.95,1,1.0
CAR004254,1,11,3,2,1,189.68,1,1.0
CAR004257,1,11,1,3,0,193.36,1,1.0
CAR000970,1,11,3,2,0,165.0,1,1.0
CAR000968,1,11,0,1,2,136.77,1,1.0
CAR000964,1,11,2,2,1,140.84,1,1.0
CAR000963,1,11,1,2,2,153.4,1,1.0
CAR003421,1,11,1,1,1,135.32,1,1.0
CAR000801,0,9,0,2,0,127.51,1,1.0
CAR000630,1,11,3,2,1,181.21,1,1.0
CAR004399,0,9,0,2,0,131.34,1,1.0
CAR002144,1,11,1,3,2,144.66,1,1.0
CAR004454,1,11,2,2,2,183.85,1,1.0
CAR000728,0,9,0,2,0,125.6,1,1.0
CAR004464,1,11,1,3,0,125.95,1,1.0
CAR003876,1,11,2,3,1,150.75,1,1.0
CAR004479,1,11,1,2,1,188.32,1,1.0
CAR002148,1,11,2,2,0,170.39000000000001,1,1.0
CAR000710,1,11,1,3,0,136.35,1,1.0
CAR002159,0,9,0,2,0,150.09,1,1.0
CAR002161,1,11,0,2,1,160.48,1,1.0
CAR003331,1,11,2,2,2,193.8,1,1.0
CAR004500,1,11,1,0,1,165.01,1,1.0
CAR004509,1,11,3,2,0,160.88,1,1.0
CAR004524,0,9,0,2,0,149.87,1,1.0
CAR000667,1,11,2,2,0,159.6,1,1.0
CAR002179,1,11,2,2,2,174.33,1,1.0
CAR000662,1,11,1,3,0,140.31,1,1.0
CAR003295,0,9,0,2,0,161.47,1,1.0
CAR002185,0,9,0,2,0,130.53,1,1.0
CAR000656,1,11,1,2,0,143.5,1,1.0
CAR000652,1,11,2,3,1,125.51,1,1.0
CAR000651,0,9,0,2,0,122.06,1,1.0
CAR003293,1,11,0,2,1,134.3,1,1.0
CAR003291,0,9,0,2,0,157.64999999999998,1,1.0
CAR002197,1,11,3,3,2,154.5,1,1.0
CAR000732,1,11,1,3,2,150.85,1,1.0
CAR000733,1,11,0,2,1,170.19,1,1.0
CAR000737,0,9,0,2,0,136.84,1,1.0
CAR000770,1,11,3,3,2,150.19,1,1.0
CAR002058,0,9,0,2,0,160.42,1,1.0
CAR003415,1,11,0,2,1,169.91,1,1.0
CAR003409,0,9,0,2,0,138.79,1,1.0
CAR004411,1,11,1,3,2,136.85999999999999,1,1.0
CAR000786,1,11,1,2,2,220.2,1,1.0
CAR000785,1,11,0,2,1,162.61,1,1.0
CAR000783,1,11,2,3,1,142.78,1,1.0
CAR004427,1,11,1,2,1,115.88,0,1.0
CAR003403,1,11,2,2,1,170.29,1,1.0
CAR004433,1,11,1,2,1,152.86,1,1.0
CAR000773,1,11,2,2,2,157.91,1,1.0
CAR003397,1,11,3,2,1,166.47,1,1.0
CAR000738,1,11,1,0,0,143.59,1,1.0
CAR002084,1,11,1,1,0,132.28,1,1.0
CAR000760,1,11,1,2,1,148.57,1,1.0
CAR000759,1,11,1,3,0,171.89,1,1.0
CAR000758,1,11,3,2,0,188.37,1,1.0
CAR004434,1,11,0,2,1,204.71,1,1.0
CAR000754,0,9,0,2,0,149.76,1,1.0
CAR004435,0,9,0,2,0,151.3,1,1.0
CAR002088,0,9,0,2,0,150.19,1,1.0
CAR003389,1,11,2,2,0,186.57999999999998,1,1.0
CAR000744,1,11,0,2,0,167.31,1,1.0
CAR002095,1,11,0,2,2,157.42,1,1.0
CAR003558,1,11,1,1,0,161.75,1,1.0
CAR004201,1,11,3,2,1,159.22,1,1.0
CAR004192,1,11,2,2,0,174.54,1,1.0
CAR001087,1,11,0,2,0,152.03,1,1.0
CAR001382,0,9,0,2,0,155.84,1,1.0
CAR003947,1,11,0,1,2,154.12,1,1.0
CAR001375,1,11,0,2,1,157.65,1,1.0
CAR003948,1,11,2,2,0,157.85,1,1.0
CAR001373,1,11,2,2,0,155.0,1,1.0
CAR003955,1,11,0,2,2,141.44,1,1.0
CAR001369,1,11,2,2,2,181.31,1,1.0
CAR001574,0,9,0,2,0,148.3,1,1.0
CAR001579,1,11,1,2,1,159.3,1,1.0
CAR001360,1,11,3,2,0,165.18,1,1.0
CAR001357,1,11,2,3,1,181.69,1,1.0
CAR003968,0,9,0,2,0,164.07,1,1.0
CAR003783,0,9,0,2,0,156.07,1,1.0
CAR003982,1,11,0,2,2,165.9,1,1.0
CAR001327,1,11,1,2,0,176.85999999999999,1,1.0
CAR003757,1,11,3,3,2,158.79,1,1.0
CAR001628,1,11,1,1,1,163.93,1,1.0
CAR003995,1,11,0,1,2,133.4,1,1.0
CAR001634,1,11,1,1,1,144.55,1,1.0
CAR001640,1,11,1,2,0,150.4,1,1.0
CAR001313,1,11,1,1,0,145.7,1,1.0
CAR001312,1,11,1,3,0,148.36,1,1.0
CAR001306,1,11,1,3,0,174.71,1,1.0
CAR004002,1,11,1,2,1,129.87,1,1.0
CAR003746,1,11,1,1,0,163.78,1,1.0
CAR001571,0,9,0,2,0,133.76,1,1.0
CAR001389,1,11,2,2,0,186.2,1,1.0
CAR001562,1,11,1,0,0,132.48,1,1.0
CAR003909,1,11,2,2,2,167.45000000000002,1,1.0
CAR001500,1,11,2,3,1,190.19,1,1.0
CAR001474,1,11,1,2,0,162.57999999999998,1,1.0
CAR001506,1,11,1,2,0,155.92000000000002,1,1.0
CAR001507,1,11,0,1,2,125.58,1,1.0
CAR001518,1,11,1,3,2,136.74,1,1.0
CAR001520,1,11,1,1,1,164.01999999999998,1,1.0
CAR001459,1,11,2,2,0,147.47,1,1.0
CAR001525,1,11,0,2,2,167.25,1,1.0
CAR001447,1,11,1,3,0,134.12,1,1.0
CAR001526,1,11,1,0,0,124.03,1,1.0
CAR003897,1,11,0,2,2,156.71,1,1.0
CAR001528,1,11,3,2,0,149.16,1,1.0
CAR001392,1,11,1,2,1,159.7,1,1.0
CAR003916,1,11,1,0,1,118.7,0,1.0
CAR003824,1,11,2,3,1,126.58,1,1.0
CAR001420,1,11,0,2,0,158.31,1,1.0
CAR003925,1,11,0,1,2,134.07,1,1.0
CAR003823,1,11,1,2,1,172.28,1,1.0
CAR003926,0,9,0,2,0,147.53,1,1.0
CAR003808,1,11,1,1,1,139.64,1,1.0
CAR003936,0,9,0,2,0,166.03,1,1.0
CAR003940,0,9,0,2,0,132.86,1,1.0
CAR001396,0,9,0,2,0,122.35,1,1.0
CAR003805,1,11,1,1,1,144.67000000000002,1,1.0
CAR001650,1,11,1,1,1,140.25,1,1.0
CAR004012,1,11,2,2,2,176.41,1,1.0
